classId,method,bytecode
klass_ID2,public void run(),aload_0 getfield ifne aload_0 invokespecial aload_0 invokespecial aload_0 invokespecial ifeq aload_0 invokespecial aload_0 invokespecial aload_0 invokespecial aload_0 invokespecial aload_0 invokevirtual return
klass_ID2,private boolean lambda$loadPassengers$3(Passenger.Passenger),aload_1 invokevirtual invokevirtual aload_0 getfield invokevirtual invokevirtual ireturn
klass_ID2,private boolean lambda$loadPassengers$2(Passenger.Passenger),aload_1 invokevirtual aload_0 getfield if_icmpeq iconst_1 goto iconst_0 ireturn
klass_ID2,private static boolean lambda$loadPassengers$1(Passenger.Passenger),aload_0 invokevirtual ifnull iconst_1 goto iconst_0 ireturn
klass_ID2,private boolean lambda$unloadPassengers$0(Passenger.Passenger),aload_1 invokevirtual aload_0 getfield if_acmpne iconst_1 goto iconst_0 ireturn


aload_0 invokespecial ifnonnull aload_0 invokespecial goto aload_0 getfield aload_0 getfield invokevirtual invokeinterface iconst_1 isub if_icmpne aload_0 dup getfield iconst_1 iadd putfield aload_0 getfield getfield ifne aload_0 getfield aload_0 getfield if_icmpge aload_0 iconst_0 putfield aload_0 invokespecial goto getstatic new dup invokespecial ldc invokevirtual aload_0 invokespecial invokevirtual ldc invokevirtual                                                  invokevirtual invokevirtual aload_0 iconst_1 putfield aload_0 aconst_null putfield return
aload_0 invokespecial ifnonnull aload_0 invokespecial goto aload_0 getfield aload_0 getfield invokevirtual invokeinterface iconst_1 isub if_icmpne aload_0 dup getfield iconst_1 iadd putfield aload_0 getfield getfield ifne aload_0 getfield aload_0 getfield if_icmpge aload_0 iconst_0 putfield aload_0 invokespecial goto getstatic new dup invokespecial ldc invokevirtual aload_0 invokespecial invokevirtual ldc invokevirtual aload_0 getfield invokevirtual ldc invokevirtual invokevirtual invokevirtual aload_0 iconst_1 putfield aload_0 aconst_null putfield return

aload_0 getfield aload_1 invokevirtual istore_3 getstatic new dup invokespecial aload_0 invokespecial invokevirtual ldc invokevirtual aload_0 getfield invokevirtual ldc invokevirtual aload_1 invokevirtual ldc invokevirtual iload_3 invokevirtual ldc invokevirtual aload_0 getfield invokevirtual ldc invokevirtual aload_0 getfield invokevirtual invokevirtual invokevirtual iload_3 i2l invokestatic goto astore aload invokevirtual aload_0 dup getfield iconst_1 iadd putfield aload_0 aload_1 putfield aload_2 dup astore monitorenter aload_0 aload_2 invokespecial aload monitorexit goto astore aload monitorexit aload athrow return
